n_tplus,Tzplus
"1496,341796875","-0,2364921147"
"1496,3190917969","-0,088938211"
"1496,310546875","0,1931524664"
"1496,3291015625","0,136007809"
"1496,3421630859","-0,1207415308"
"1496,3305664063","0,0711507055"
"1496,3374023438","0,3988514298"
"1496,3757324219","0,3201541219"
"1496,4064941406","-0,0393758507"
"1496,4027099609","0,0139618119"
"1496,4040527344","0,2182637707"
"1496,4250488281","0,1066686957"
"1496,4353027344","-0,1714678733"
"1496,4188232422","-0,0025398426"
"1496,4185791016","0,3263340826"
"1496,4499511719","0,3303068218"
"1496,4816894531","0,0863805732"
"1496,4899902344","0,2030979169"
"1496,5095214844","0,4721679925"
"1496,5549316406","0,3746064578"
"1496,5909423828","0,0241335487"
"1496,5932617188","0,0774593085"
"1496,6007080078","0,2958691257"
"1496,6291503906","0,1880531586"
"1496,6472167969","-0,1106372401"
"1496,6365966797","0,0139858596"
"1496,6379394531","0,3039590482"
"1496,6671142578","0,1883490081"
"1496,6851806641","-0,2162940343"
"1496,6644287109","-0,1742590123"
"1496,6477050781","0,0661808616"
"1496,6540527344","0,002546765"
"1496,654296875","-0,3094153369"
"1496,6246337891","-0,2163667667"
"1496,6038818359","0,075081731"
"1496,6110839844","0,0547616692"
"1496,6163330078","-0,2152107227"
"1496,595703125","-0,0241595319"
"1496,5933837891","0,4567286091"
"1496,6372070313","0,6905551101"
"1496,7034912109","0,6255470075"
"1496,763671875","0,8760232186"
"1496,8479003906","1,3045288838"
"1496,9731445313","1,3038527853"
"1497,0982666016","0,8473805744"
"1497,1795654297","0,5072133386"
"1497,2282714844","0,1890580536"
"1497,2464599609","-0,3096978561"
"1497,2166748047","-0,9277107891"
"1497,1275634766","-1,0041846132"
"1497,0311279297","-0,6981426803"
"1496,9641113281","-0,6247192045"
"1496,9041748047","-0,7986796137"
"1496,8275146484","-0,5644206009"
"1496,7733154297","-0,0865756662"
"1496,7650146484","0,0841932494"
"1496,7730712891","-0,0867106354"
"1496,7647705078","0,0522178287"
"1496,7697753906","0,3820234397"
"1496,8063964844","0,3695561078"
"1496,841796875","-0,0535556402"
"1496,8366699219","-0,2332839019"
"1496,8143310547","-0,1376885768"
"1496,8011474609","-0,1709649288"
"1496,7847900391","-0,4300070246"
"1496,7436523438","-0,2538327992"
"1496,7193603516","0,1899927955"
"1496,7375488281","0,2499286326"
"1496,7614746094","-0,1428396645"
"1496,7478027344","-0,2575737528"
"1496,7231445313","-0,119861242"
"1496,7116699219","-0,1862687356"
"1496,6938476563","-0,4989540102"
"1496,6461181641","-0,4171827882"
"1496,6062011719","-0,0051030355"
"1496,6057128906","0,1517145759"
"1496,6202392578","0,0089175087"
"1496,62109375","0,1158528133"
"1496,6322021484","0,3196744663"
"1496,6628417969","0,1885287262"
"1496,6809082031","-0,2266465724"
"1496,6591796875","-0,2176957968"
"1496,6383056641","0,208745362"
"1496,6583251953","0,4290095369"
"1496,6994628906","0,2280446202"
"1496,7213134766","0,2369698548"
"1496,7440185547","0,4761861809"
"1496,7896728516","0,5081824226"
"1496,8383789063","0,2280823503"
"1496,8602294922","0,2584992599"
"1496,8850097656","0,4865360357"
"1496,931640625","0,3761074327"
"1496,9676513672","-0,2205921977"
"1496,9465332031","-0,562159717"
"1496,8927001953","-0,4090136728"
"1496,853515625","-0,2854213565"
"1496,826171875","-0,4194002345"
"1496,7860107422","-0,1873582288"
"1496,7680664063","0,2953873648"
"1496,7963867188","0,4493734767"
"1496,8394775391","0,1603920526"
"1496,8548583984","0,0649147829"
"1496,8610839844","0,2494578665"
"1496,8850097656","0,207607622"
"1496,9049072266","-0,1758592609"
"1496,8880615234","-0,229316228"
"1496,8660888672","0,0853478035"
"1496,8742675781","0,1414326261"
"1496,8878173828","-0,2319223191"
"1496,8656005859","-0,3454316224"
"1496,8325195313","-0,1159675771"
"1496,8214111328","-0,011475136"
"1496,8203125","-0,1939396358"
"1496,8017578125","-0,0676325429"
"1496,7952880859","0,3021202226"
"1496,82421875","0,2628051059"
"1496,8493652344","-0,2300888627"
"1496,8273925781","-0,4496679416"
"1496,7844238281","-0,3114874924"
"1496,7546386719","-0,2950802472"
"1496,7264404297","-0,6035315438"
"1496,6688232422","-0,6355059609"
"1496,6081542969","-0,2915825114"
"1496,5803222656","-0,080600379"
"1496,5726318359","-0,1292372899"
"1496,5603027344","0,0524637786"
"1496,5653076172","0,4848999629"
"1496,6115722656","0,6461691058"
"1496,6732177734","0,3660044049"
"1496,7081298828","0,2851206471"
"1496,7353515625","0,5225080004"
"1496,7852783203","0,6233711467"
"1496,8448486328","0,359028653"
"1496,8791503906","0,2017055818"
"1496,8984375","0,2935653458"
"1496,9265136719","0,1774211395"
"1496,9434814453","-0,2668370504"
"1496,91796875","-0,4308634259"
"1496,8768310547","-0,1290692346"
"1496,8645019531","0,0434014124"
"1496,8686523438","-0,2094122469"
"1496,8486328125","-0,2896761144"
"1496,8209228516","-0,0012756488"
"1496,8208007813","0,1122945348"
"1496,8315429688","-0,1633668039"
"1496,8159179688","-0,2477355081"
"1496,7922363281","0,0753507744"
"1496,7994384766","0,2364526102"
"1496,8220214844","-0,0652481273"
"1496,8157958984","-0,2571675397"
"1496,7912597656","-0,0652064107"
"1496,7850341797","0,0562723648"
"1496,7904052734","-0,1434241743"
"1496,7767333984","-0,129336148"
"1496,7644042969","0,2443842134"
"1496,7877197266","0,4163072266"
"1496,8273925781","0,1063156631"
"1496,8375244141","-0,0844500694"
"1496,8294677734","0,1266919808"
"1496,8415527344","0,2316716531"
"1496,8636474609","-0,0371168975"
"1496,8601074219","-0,1638382716"
"1496,8444824219","0,0729515645"
"1496,8514404297","0,1752825218"
"1496,8681640625","-0,1446146535"
"1496,8543701172","-0,2879179446"
"1496,8269042969","0,0319628611"
"1496,8299560547","0,322052474"
"1496,8607177734","0,2530817691"
"1496,8848876953","0,3051877309"
"1496,9140625","0,7326417004"
"1496,9841308594","0,9409972934"
"1497,0740966797","0,599852701"
"1497,1314697266","0,2246897231"
"1497,1529541016","0,1403823992"
"1497,1663818359","0,1096987003"
"1497,1768798828","-0,1455651414"
"1497,1629638672","-0,2132180747"
"1497,142578125","0,1340816867"
"1497,1553955078","0,4239964665"
"1497,1959228516","0,3387169782"
"1497,2282714844","0,341302175"
"1497,2608642578","0,6928273184"
"1497,3270263672","0,8231905381"
"1497,4056396484","0,3092655294"
"1497,4351806641","-0,5046685806"
"1497,3869628906","-0,7551097938"
"1497,3148193359","-0,6217312382"
"1497,2554931641","-0,7345621762"
"1497,1854248047","-0,7319833803"
"1497,1156005859","-0,2982370243"
"1497,0871582031","0,0204596437"
"1497,0891113281","-0,1099543102"
"1497,0786132813","-0,2110500338"
"1497,0584716797","0,1074137409"
"1497,0687255859","0,2876500646"
"1497,0961914063","-0,1379879768"
"1497,0830078125","-0,6284923747"
"1497,0229492188","-0,606491255"
"1496,9649658203","-0,5235353949"
"1496,9149169922","-0,7013592583"
"1496,8479003906","-0,7487873278"
"1496,7763671875","-0,3231252616"
"1496,7454833984","-0,0140387991"
"1496,744140625","-0,1991577982"
"1496,7250976563","-0,4369259128"
"1496,6833496094","-0,268313439"
"1496,6577148438","-0,0933007623"
"1496,6488037109","-0,2556753076"
"1496,6243896484","-0,3475357252"
"1496,5911865234","0,030652049"
"1496,5941162109","0,3591382116"
"1496,6284179688","0,2084174811"
"1496,6483154297","0,0217564063"
"1496,650390625","0,2864891748"
"1496,677734375","0,537881809"
"1496,7291259766","0,3989301108"
"1496,7672119141","0,2008198189"
"1496,7863769531","0,3543057319"
"1496,8201904297","0,4490161013"
"1496,8630371094","0,1676782957"
"1496,8790283203","-0,0409341662"
"1496,8751220703","0,2364934185"
"1496,8977050781","0,5191178052"
"1496,947265625","0,3477835699"
"1496,98046875","0,1111670572"
"1496,9910888672","0,2274136904"
"1497,0128173828","0,1916321545"
"1497,0311279297","-0,3959580261"
"1496,9932861328","-0,9507102214"
"1496,9024658203","-0,8805802352"
"1496,818359375","-0,6882185857"
"1496,7525634766","-0,8403473015"
"1496,6722412109","-0,9876251202"
"1496,5778808594","-0,6001050552"
"1496,5205078125","-0,1238277066"
"1496,5086669922","0,02299026"
"1496,5108642578","-0,0025550907"
"1496,5106201172","0,3002116281"
"1496,5393066406","0,5629243432"
"1496,5931396484","0,4213710987"
"1496,6334228516","0,2171516707"
"1496,6541748047","0,4788767082"
"1496,6999511719","0,7333147258"
"1496,7700195313","0,4946553171"
"1496,8172607422","0,0767118138"
"1496,8245849609","0,0587988251"
"1496,8302001953","0,0805398741"
"1496,837890625","-0,2686668583"
"1496,8122558594","-0,687468012"
"1496,7467041016","-0,6129116391"
"1496,6882324219","-0,4028905344"
"1496,6497802734","-0,5000429502"
"1496,6020507813","-0,6024703593"
"1496,5445556641","-0,2545567916"
"1496,5202636719","0,1624320971"
"1496,5357666016","0,1585846597"
"1496,5509033203","0,0115042139"
"1496,5520019531","0,232373311"
"1496,57421875","0,4364544628"
"1496,6159667969","0,1952001555"
"1496,6346435547","-0,1823430156"
"1496,6171875","-0,056072955"
"1496,6118164063","0,2063547893"
"1496,6315917969","0,1618618677"
"1496,6470947266","0,0114734263"
"1496,6481933594","0,2737211554"
"1496,6744384766","0,5862978984"
"1496,7307128906","0,4930210984"
"1496,7780761719","0,2070812697"
"1496,7979736328","0,3062083462"
"1496,8273925781","0,4752294282"
